,A,B,C,D,E,F
0,3.0,-0.0,-0.9836064524370226,-0.3504927145409452,-0.016393547562977416,0.0
1,1.0,-0.0,-0.18998062766144444,-0.8537072221503672,0.18998062766144444,0.0
2,3.0,0.0,1.8535831362117883,2.538048292955571,0.14641686378821164,0.0
3,3.0,-0.0,-1.746570328789495,1.9627188940621347,-0.2534296712105052,0.0
4,3.0,-0.0,-2.1795921405181957,2.209444698415771,0.17959214051819566,0.0
5,3.0,-0.0,-1.2400905861460567,1.6091853545742432,-0.7599094138539433,0.0
6,3.0,0.0,1.5447957605214275,1.9959112174046845,0.45520423947857247,0.0
7,1.0,-0.0,-1.8566787447876023,1.4831315991243605,-0.14332125521239775,0.0
8,3.0,0.0,1.8323209582261226,2.478552833605885,0.16767904177387735,0.0
9,3.0,-0.0,-0.8868416771341238,2.867204098632595,-0.11315832286587627,0.0
10,3.0,-0.0,-1.4171661292811946,1.2015749321242224,0.41716612928119445,0.0
11,3.0,0.0,1.9816987420508385,-1.0435922605957568,0.018301257949161587,0.0
12,3.0,-0.0,-1.1546682292071198,-0.45298223943600796,0.1546682292071197,0.0
13,1.0,0.0,0.008353985110082703,0.7769412154827149,-0.008353985110082703,0.0
14,3.0,-0.0,-1.8372619561321353,1.5673647376429072,-0.16273804386786475,0.0
15,1.0,-0.0,-0.9038543852294589,2.451184973433743,-0.09614561477054107,0.0
16,3.0,0.0,0.9183468338950385,2.3974505811207574,0.0816531661049616,0.0
17,3.0,-0.0,-0.43412050452092066,-1.091219988427725,0.43412050452092066,0.0
18,3.0,0.0,0.12300602987750277,2.0504325658227747,-0.12300602987750277,0.0
19,3.0,-0.0,-0.8407529179347979,-0.7543050447912862,-0.15924708206520213,0.0
20,1.0,-0.0,-2.260223967809473,1.8620959595592572,0.2602239678094729,0.0
21,3.0,0.0,1.278198069513413,1.334382541060136,-0.2781980695134129,0.0
22,1.0,0.0,0.4766411418146338,2.0047395400559878,0.5233588581853662,0.0
23,1.0,-0.0,-1.6027757845579882,-1.1499168279058645,-0.3972242154420119,0.0
24,3.0,-0.0,-2.9902826251576218,1.6935205813292251,0.9902826251576219,0.0
25,3.0,-0.0,-1.3870073872669573,0.9476166760163145,0.3870073872669572,0.0
26,1.0,0.0,2.1974406384783363,-1.1534399432064226,-0.19744063847833615,0.0
27,1.0,0.0,1.321127430505336,0.9733426313627165,-0.3211274305053361,0.0
28,1.0,0.0,0.6864371716795896,1.8286565546007998,0.3135628283204104,0.0
29,3.0,-0.0,-2.035881006764136,2.605375880099562,0.03588100676413602,0.0
30,3.0,-0.0,-2.664819389407911,0.8709412784157571,0.6648193894079111,0.0
31,3.0,0.0,1.1396410194241107,2.2778812340822716,0.8603589805758893,0.0
32,3.0,-0.0,-2.2078277294379522,-0.6051865452214673,0.2078277294379523,0.0
33,3.0,-0.0,-1.0455803011068,1.784455979298121,0.04558030110679983,0.0
34,1.0,0.0,0.7817800060456206,1.0316733633950015,0.2182199939543794,0.0
35,3.0,0.0,1.4351490620850922,1.712137228066323,-0.4351490620850922,0.0
36,3.0,-0.0,-0.682524115094535,-1.339526726252721,-0.31747588490546497,0.0
37,3.0,-0.0,-0.2830598374403317,1.0806848894114396,0.2830598374403317,0.0
38,3.0,0.0,0.11000418712969683,2.4724093713559254,-0.11000418712969683,0.0
39,3.0,0.0,0.8315603238492615,0.47797983190758603,0.16843967615073857,0.0
40,1.0,0.0,1.8263604164817913,2.00304108803204,0.1736395835182087,0.0
41,1.0,-0.0,-1.8636498214478823,0.850411101851861,-0.1363501785521178,0.0
42,1.0,0.0,0.013495512304305894,2.1169271996018506,-0.013495512304305894,0.0
43,3.0,-0.0,-2.9073781877405844,2.2944184873047218,0.9073781877405847,0.0
44,1.0,-0.0,-1.720453150676356,0.9127376616130911,-0.279546849323644,0.0
45,3.0,0.0,0.984297351950158,2.4831621566793163,0.015702648049842047,0.0
46,3.0,0.0,2.502458845902006,2.073088529286083,-0.5024588459020063,0.0
47,3.0,-0.0,-1.4006994439579046,2.513404097924456,0.40069944395790447,0.0
48,3.0,-0.0,-2.117252191565997,2.431331678304752,0.11725219156599688,0.0
49,1.0,0.0,2.078338450462956,1.8852121839527451,-0.0783384504629559,0.0
50,1.0,-0.0,-2.017748857974078,0.4334442569606166,0.01774885797407822,0.0
51,1.0,-0.0,-1.5468371220049861,1.9511301215428136,0.5468371220049862,0.0
52,3.0,-0.0,-1.9682992504016557,2.8612917532490343,-0.031700749598344354,0.0
53,1.0,-0.0,-0.7291374573999108,1.525300942695324,-0.27086254260008924,0.0
54,3.0,-0.0,-1.8780366061633138,2.342946928766375,-0.12196339383668613,0.0
55,3.0,-0.0,-2.064753273439199,2.8504626190994458,0.06475327343919887,0.0
56,3.0,-0.0,-2.0370497575606614,-0.1692930607708425,0.03704975756066146,0.0
57,1.0,0.0,1.4208261993992048,0.7223686628547243,-0.42082619939920485,0.0
58,1.0,-0.0,-1.0411392982130616,0.34660983747549384,0.04113929821306154,0.0
59,1.0,-0.0,-1.799662790405219,2.3207663699030268,-0.20033720959478107,0.0
60,3.0,0.0,0.9301389884906333,1.2005262146322235,0.06986101150936679,0.0
61,1.0,0.0,0.928020745193382,1.2249335299586916,0.07197925480661808,0.0
62,1.0,-0.0,-1.495880436953192,-0.9612614085878985,-0.504119563046808,0.0
63,3.0,-0.0,-2.3680681918565103,1.2560041329928247,0.3680681918565105,0.0
64,3.0,0.0,1.8175015958708305,0.6792212475333084,0.18249840412916962,0.0
65,3.0,-0.0,-0.843766159063906,2.588683113535689,-0.15623384093609405,0.0
66,1.0,0.0,1.9707390110594676,2.2834832000987366,0.02926098894053243,0.0
67,3.0,-0.0,-1.01408996563573,-0.045495543613750744,0.014089965635730093,0.0
68,3.0,0.0,1.7336568975230358,0.851861622131678,-0.7336568975230358,0.0
69,1.0,-0.0,-0.08283068065309704,2.7739772954464126,0.08283068065309704,0.0
